Nom de la société;Symbole;1 semaine;2 mois;6 mois;1 an;3 ans;5 ans
BTU Metals Corp.;BTU;-2.22%;-5.94%;-6.10%;5.98%;213.67%;-5.54%
Emerita Resources Corp.;EMO;0.31%;4.67%;27.54%;45.49%;79.52%;-6.58%
Providence Gold Mines Inc.;PHD;-1.51%;1.77%;6.20%;14.94%;-16.85%;-6.86%
New Tymbal Resources Ltd.;NTB;-0.80%;5.81%;4.37%;21.94%;-7.98%;-7.01%
Thunder Mountain Gold, Inc.;THM;0.00%;-18.46%;0.00%;26.19%;-48.04%;-7.02%
MustGrow Biologics Corp.;MGRO;-0.50%;-0.58%;-7.59%;-7.59%;-7.59%;-7.59%
Imperial Equities Inc.;IEI;0.49%;1.93%;-0.87%;-0.03%;-11.11%;-7.66%
Electric Metals (USA) Limited;EML;-10.78%;-22.47%;14.88%;31.07%;-24.27%;-7.74%
Adamera Minerals Corp.;ADZ;0.00%;0.00%;0.00%;0.00%;0.00%;-7.89%
Dixie Gold Inc.;DG;1.33%;-11.38%;-1.80%;-23.27%;-40.84%;-8.78%
Sabio Holdings Inc.;SBIO;-5.48%;2.31%;7.17%;-1.08%;-34.02%;-9.27%
Metalla Royalty & Streaming Ltd.;MTA;-4.62%;-3.67%;-5.56%;-31.68%;-69.80%;-9.57%
Bitterroot Resources Ltd.;BTT;-0.39%;0.73%;-0.39%;-0.63%;-21.04%;-10.53%
Superior Mining International Corporation;SUI;-0.34%;-1.89%;-11.75%;-13.11%;-34.13%;-10.63%
Aurora Spine Corporation;ASG;-0.76%;2.76%;-0.38%;-2.98%;-40.73%;-10.79%
Oculus VisionTech Inc.;OVT;0.32%;3.51%;1.41%;2.45%;-11.94%;-11.25%
MTB Metals Corp.;MTB;2.21%;0.78%;9.60%;20.15%;-0.56%;-11.29%
Regulus Resources Inc.;REG;0.91%;3.29%;-6.68%;0.82%;-6.55%;-12.03%
Nicola Mining Inc.;NIM;0.56%;1.24%;2.27%;1.01%;-16.88%;-12.95%
Auric Resources Corp.;RES;-6.14%;-23.14%;-16.53%;-11.83%;7.01%;-13.09%
Tres-Or Resources Ltd.;TRS;-1.27%;-0.54%;-0.46%;-2.57%;-16.29%;-13.42%
Troubadour Resources Inc.;TR;-0.97%;-6.43%;-10.61%;-21.24%;-5.46%;-13.59%
Namibia Critical Metals Inc.;NMI;1.90%;5.23%;6.28%;4.55%;-17.45%;-14.07%
Pacific Ridge Exploration Ltd.;PEX;-1.29%;2.22%;8.08%;6.05%;-21.05%;-14.15%
Decade Resources Ltd.;DEC;-7.68%;0.14%;-9.08%;-15.37%;-15.37%;-15.37%
Gabo Mining Ltd.;GAB;-4.21%;-1.13%;5.02%;-6.27%;-23.98%;-15.65%
Fidelity Minerals Corp.;FMN;0.80%;3.92%;4.68%;8.15%;-25.52%;-16.59%
Backstageplay Inc.;BP;-0.48%;-9.05%;1.06%;0.91%;31.37%;-16.63%
Elysee Development Corp.;ELC;0.00%;3.45%;-11.76%;-33.33%;-57.14%;-16.67%
Kootenay Silver Inc.;KTN;-0.26%;1.01%;-2.27%;-0.37%;-16.99%;-16.96%
Fountain Asset Corp.;FA;-3.80%;4.52%;0.87%;14.00%;-17.77%;-17.77%
Western Exploration Inc.;WEX;-4.47%;-26.55%;-10.80%;-3.26%;-15.55%;-17.89%
Odd Burger Corporation;ODD;-7.90%;19.11%;-16.88%;-18.03%;-18.03%;-18.03%
Vatic Ventures Corp;VCV;0.97%;7.80%;5.93%;7.80%;-24.49%;-19.31%
High Tide Inc.;HITI;-4.18%;17.21%;64.71%;101.60%;-66.31%;-20.00%
CardioComm Solutions, Inc.;EKG;-1.70%;2.23%;3.37%;-11.88%;-20.03%;-20.03%
Prosper Gold Corp.;PGX;0.35%;2.29%;1.31%;3.93%;-23.59%;-20.99%
Environmental Waste International Inc.;EWS;-0.10%;3.45%;9.41%;2.29%;-17.54%;-21.62%
Pegasus Resources Inc.;PEGA;-4.10%;-2.29%;15.70%;11.85%;-58.69%;-22.51%
Plato Gold Corp.;PGC;-1.01%;-12.37%;-25.53%;-25.53%;-33.05%;-22.57%
American Eagle Gold Corp.;AE;-8.87%;-15.68%;-8.90%;-30.07%;-12.74%;-23.11%
Vizsla Silver Corp.;VZLA;2.94%;30.60%;48.31%;47.06%;-23.31%;-23.31%
Portofino Resources Inc.;POR;-0.80%;-2.01%;-1.51%;-11.03%;-11.94%;-23.64%
Northstar Clean Technologies Inc.;ROOF;-0.26%;3.58%;-4.07%;0.16%;-27.82%;-24.74%
Klondike Silver Corp.;KS;0.00%;-25.00%;-25.00%;0.00%;-53.85%;-25.00%
Lion Copper and Gold Corp.;LEO;0.66%;4.62%;3.74%;1.33%;-30.88%;-25.12%
Atomic Minerals Corporation;ATOM;-1.28%;-29.49%;-46.00%;-56.30%;-85.00%;-25.24%
Gungnir Resources Inc.;GUG;-1.06%;3.69%;6.13%;5.23%;-25.50%;-25.50%
Ridgestone Mining Inc.;RMI;-2.39%;3.52%;3.79%;1.40%;-31.52%;-25.56%
Q2 Metals Corp.;QTWO;-4.03%;11.83%;36.10%;96.44%;-45.13%;-25.62%
Cannara Biotech Inc.;LOVE;-10.43%;6.16%;-10.71%;-8.02%;-68.68%;-25.77%
GT Resources Inc.;GT;-6.18%;-5.47%;-22.21%;-16.49%;-34.99%;-25.96%
Mineral Hill Industries Ltd.;MHI;-0.11%;5.49%;6.49%;6.11%;-29.51%;-26.47%
BCM Resources Corporation;B;2.97%;10.32%;29.03%;-2.99%;-24.16%;-26.66%
Brunswick Exploration Inc.;BRW;-2.24%;-2.24%;-9.13%;-10.53%;-25.69%;-26.79%
NexgenRx Inc.;NXG;-0.66%;4.46%;18.89%;6.59%;-17.50%;-27.02%
Volt Lithium Corp.;VLT;-1.40%;1.83%;2.23%;1.64%;-27.89%;-27.09%
Comet Industries Ltd.;CMU;1.48%;5.86%;4.26%;7.86%;-27.18%;-27.94%
Theralase Technologies Inc.;TLT;2.24%;6.28%;-4.99%;-8.44%;-33.99%;-28.03%
Alpha Exploration Ltd.;ALEX;-0.91%;1.67%;-12.72%;-11.88%;-13.96%;-28.16%
PetroFrontier Corp;PFC;-0.83%;-4.47%;-18.34%;17.04%;-31.95%;-28.43%
Nickelex Resource Corporation;NICK;0.30%;3.29%;1.54%;31.21%;-42.31%;-28.49%
Eros Resources Corp.;ERC;-1.65%;0.79%;-4.07%;-0.99%;-30.49%;-28.83%
Arianne Phosphate Inc.;DAN;-6.48%;1.87%;-12.54%;-24.21%;-46.39%;-30.08%
Minco Capital Corp.;MMM;-0.43%;8.80%;16.25%;17.81%;-38.26%;-30.48%
Precipitate Gold Corp.;PRG;-1.41%;10.35%;15.55%;8.04%;-26.94%;-31.54%
Strategic Resources Inc.;SR;-0.41%;-4.84%;-6.84%;-7.29%;-21.78%;-31.68%
Forum Energy Metals Corp.;FMC;-3.11%;-4.65%;-7.01%;-47.25%;-51.34%;-32.76%
Pelangio Exploration Inc.;PX;0.25%;7.29%;-20.92%;-29.96%;-33.03%;-33.03%
Lithium ION Energy Ltd.;ION;-4.32%;-6.30%;-8.05%;-27.29%;-33.19%;-33.19%
Churchill Resources Inc.;CRI;-2.43%;-11.98%;-15.72%;-9.72%;-38.48%;-33.92%
TomaGold Corporation;LOT;-1.52%;10.54%;-39.65%;-37.71%;-34.01%;-34.01%
Good Gamer Entertainment Inc.;GOOD;-0.07%;6.51%;8.14%;13.82%;-37.97%;-34.45%
Fairchild Gold Corp.;FAIR;-1.79%;-5.60%;2.34%;11.05%;-17.67%;-35.21%
SATO Technologies Corp.;SATO;2.58%;24.66%;23.44%;102.19%;-35.72%;-35.72%
Consolidated Lithium Metals Inc.;CLM;-1.05%;4.44%;5.03%;-7.84%;-33.69%;-35.73%
San Lorenzo Gold Corp.;SLG;3.26%;13.00%;24.77%;121.37%;-30.44%;-36.06%
Midnight Sun Mining Corp;MMA;-9.49%;-11.30%;-36.12%;-36.12%;-36.12%;-36.12%
Helius Minerals Limited;HHH;-3.45%;5.84%;-19.94%;-12.51%;-36.77%;-36.18%
Southern Empire Resources Corp.;SMP;-4.22%;-13.62%;-30.64%;-24.55%;-38.13%;-36.77%
Digihost Technology Inc.;DGHI;1.44%;0.71%;-12.42%;-14.55%;-58.77%;-38.16%
ProAm Explorations Corporation;PMX;-1.17%;2.99%;0.40%;-3.31%;-41.12%;-38.34%
Orogen Royalties Inc.;OGN;-2.35%;13.06%;54.87%;-2.54%;-30.81%;-38.80%
Ackroo Inc.;AKR;0.88%;-1.09%;2.68%;20.07%;-20.82%;-39.29%
Graphano Energy Ltd.;GEL;-3.60%;6.93%;6.84%;36.10%;17.25%;-40.20%
Tactical Resources Corp.;RARE;-16.17%;-14.35%;-17.56%;-25.35%;-60.81%;-40.22%
CloudMD Software & Services Inc.;DOC;0.41%;6.86%;0.10%;-3.47%;-42.43%;-40.43%
Frontier Lithium Inc.;FL;-1.57%;16.47%;-20.79%;-5.57%;-57.22%;-40.60%
Power Group Projects Corp.;PGP;-2.62%;2.48%;2.20%;1.09%;-32.45%;-41.17%
Outback Goldfields Corp.;OZ;-1.03%;-4.17%;-21.23%;-35.23%;-42.60%;-42.60%
Rocky Mountain Liquor Inc.;RUM;-4.13%;-10.59%;15.32%;-40.30%;-42.64%;-42.87%
Panoro Minerals Ltd.;PML;-0.81%;4.27%;1.91%;-4.36%;-41.92%;-43.00%
Ramp Metals Inc.;RAMP;-5.11%;-10.09%;-17.56%;10.25%;-30.56%;-43.02%
Arrow Exploration Corp.;AXL;-7.89%;-4.57%;-19.13%;-14.62%;-36.03%;-43.10%
Evome Medical Technologies Inc.;EVMT;-2.05%;-9.02%;0.30%;-22.09%;-44.13%;-44.13%
Canaf Investments Inc.;CAF;-0.84%;-1.99%;-1.25%;-8.31%;-47.86%;-44.50%
Benz Mining Corp.;BZ;2.61%;11.98%;29.15%;31.30%;-43.83%;-44.97%
MAX Resource Corp.;MAX;-2.66%;-10.15%;54.96%;78.67%;-59.27%;-46.11%
Pan Global Resources Inc.;PGZ;-1.38%;2.56%;7.63%;8.57%;-34.01%;-47.04%
Sirios Resources Inc.;SOI;-3.06%;-2.26%;0.73%;0.61%;-15.93%;-47.07%
Salazar Resources Limited;SRL;-4.23%;2.50%;8.60%;3.30%;-49.46%;-48.06%
Dolly Varden Silver Corporation;DV;-0.27%;-37.19%;-47.61%;-50.74%;-52.38%;-48.31%
Genius Metals Inc.;GENI;-3.19%;0.78%;-16.23%;-9.47%;-70.45%;-48.40%
Petrolympic Ltd;PCQ;0.00%;2.96%;-0.74%;-3.99%;-50.37%;-50.05%
Rome Resources Ltd.;RMR;-2.88%;-0.96%;-17.66%;-3.58%;-43.82%;-50.47%
Focus Graphite Inc.;FMS;-8.60%;-4.38%;-4.10%;-16.20%;-52.63%;-50.75%
Sparton Resources Inc.;SRI;-0.94%;3.26%;-17.17%;-11.72%;-48.01%;-50.90%
ATI Airtest Technologies Inc.;AAT;2.59%;2.40%;-3.71%;12.90%;-42.48%;-54.12%
Grey Wolf Animal Health Corp.;WOLF;-11.71%;8.60%;-37.96%;-49.57%;-71.82%;-54.51%
Nubian Resources Ltd;NBR;-7.00%;-17.11%;-25.55%;-35.96%;-48.41%;-54.51%
EverGen Infrastructure Corp.;EVGN;0.00%;1.54%;-23.26%;-9.59%;-80.98%;-55.10%
Themac Resources Group Limited;MAC;0.00%;-5.61%;-3.14%;35.87%;-16.66%;-56.14%
Central Iron Ore Limited;CIO;8.09%;9.48%;-18.33%;-6.62%;-59.78%;-58.97%
Baroyeca Gold & Silver Inc.;BGS;-10.09%;-22.12%;-20.42%;-39.49%;-74.71%;-59.94%
Relevant Gold Corp.;RGC;-14.26%;-36.49%;-58.01%;-82.60%;-61.05%;-61.05%
Aton Resources Inc.;AAN;22.92%;36.09%;-7.90%;-24.98%;-71.33%;-62.15%
Strategem Capital Corporation;SGE;-14.63%;0.72%;-12.50%;-56.79%;-62.26%;-62.26%
Blue Moon Metals Inc.;MOON;-5.12%;6.06%;-12.68%;-24.14%;-73.30%;-62.56%
Pucara Gold Ltd.;TORO;-3.99%;-5.64%;-22.38%;18.10%;-66.52%;-66.52%
Millennium Silver Corp.;MSC;-3.14%;-9.48%;5.77%;1.80%;-38.92%;-67.01%
McChip Resources Inc;MCS;0.47%;-19.73%;-26.81%;-27.36%;-50.60%;-68.65%
Midland Exploration Inc;MD;8.59%;-14.62%;-13.95%;-44.29%;-75.66%;-68.66%
Capitan Silver Corp.;CAPT;6.60%;-48.40%;-4.06%;-70.93%;-68.83%;-68.83%
Trifecta Gold Ltd.;TG;-7.72%;-25.78%;-7.36%;-20.33%;-66.48%;-70.87%
Canadian Premium Sand Inc.;CPS;-5.91%;-23.02%;-29.06%;-16.62%;-59.46%;-72.14%
Waverley Pharma Inc.;WAVE;-12.35%;-19.46%;183.81%;14.62%;-72.53%;-72.53%
Storm Exploration Inc.;STRM;-1.96%;47.06%;51.52%;-65.52%;-72.07%;-72.68%
T2 Metals Corp.;TWO;1.01%;6.09%;-7.90%;-5.64%;-59.24%;-74.33%
The Fresh Factory B.C. Ltd;FRSH;-4.35%;-33.37%;-48.64%;-28.57%;-74.55%;-74.55%
Champion Bear Resources Ltd.;CBA;-25.00%;-50.00%;-30.77%;-35.71%;-50.00%;-75.00%
Canadian Spirit Resources Inc.;SPI;-10.56%;0.63%;-44.48%;-64.74%;-93.00%;-75.10%
Lifeist Wellness Inc.;LFST;-3.29%;-9.88%;-27.63%;-42.62%;-79.65%;-75.84%
Osisko Development Corp.;ODV;-5.24%;-6.57%;-28.42%;-54.57%;-88.56%;-77.89%
AirIQ Inc;IQ;-4.12%;-8.12%;-14.10%;-25.56%;-72.56%;-78.18%
Metal Energy Corp.;MERG;0.00%;0.00%;0.00%;0.00%;0.00%;-80.08%
Destiny Media Technologies Inc.;DSY;-39.55%;-82.66%;-82.31%;-81.87%;-81.31%;-81.31%
Deveron Corp.;FARM;1.77%;-7.99%;-4.95%;1.41%;-73.91%;-82.56%
Bravo Mining Corp.;BRVO;32.86%;-62.80%;-48.04%;-82.45%;-28.46%;-82.78%
Labrador Gold Corp.;LAB;-12.02%;-19.29%;6.22%;1.99%;-64.35%;-83.06%
Trench Metals Corp.;TMC;4.96%;-9.76%;35.78%;-10.84%;-84.27%;-84.27%
Surge Copper Corp.;SURG;-9.72%;3.52%;-35.47%;-54.16%;-43.52%;-84.48%
Canterra Minerals Corporation;CTM;-9.09%;-24.05%;-21.05%;-65.45%;-85.00%;-85.00%
Hawkeye Gold & Diamond Inc.;HAWK;20.00%;0.00%;50.00%;20.00%;-85.00%;-85.00%
Scorpio Gold Corporation;SGN;-7.28%;3.32%;-57.70%;-85.49%;-85.49%;-85.49%
Sun Summit Minerals Corp.;SMN;1.33%;0.13%;-8.84%;-19.85%;-46.42%;-85.67%
Plurilock Security Inc.;PLUR;-1.22%;12.77%;28.41%;-16.91%;-81.84%;-87.39%
Canada Rare Earth Corp.;LL;-12.58%;-7.33%;-62.53%;-69.72%;-93.20%;-87.57%
EQ Inc.;EQ;-2.82%;-58.18%;-5.48%;-6.76%;-88.42%;-88.50%
SRG Mining Inc.;SRG;0.00%;-48.12%;-47.55%;-42.76%;-74.35%;-88.72%
Kutcho Copper Corp.;KC;-6.29%;-2.19%;-25.35%;-58.51%;-91.98%;-88.76%
Masivo Silver Corp.;MASS;-10.44%;-1.79%;-36.82%;-31.97%;-85.93%;-88.80%
ProStar Holdings Inc.;MAPS;7.92%;0.93%;47.70%;23.16%;-94.03%;-88.89%
Star Royalties Ltd.;STRR;-12.62%;-15.63%;-29.42%;-50.07%;-73.21%;-89.41%
Electra Battery Materials Corporation;ELBM;-7.64%;8.75%;31.82%;-59.35%;-90.22%;-91.31%
Snowline Gold Corp.;SGD;-7.39%;-37.81%;-67.73%;-91.87%;-91.87%;-91.87%
NV Gold Corporation;NVX;-5.00%;-24.50%;-9.52%;-42.81%;-92.31%;-92.31%
NTG Clarity Networks Inc.;NCI;11.79%;-92.32%;-92.32%;-92.32%;-92.32%;-92.32%
Hercules Silver Corp.;BIG;-21.01%;-48.35%;-73.14%;-73.89%;-97.12%;-93.51%
Proton Capital Corp.;PTN;5.08%;20.35%;-16.19%;-5.05%;-84.95%;-93.82%
Pacific Bay Minerals Ltd.;PBM;-8.00%;-19.95%;-94.49%;-94.50%;-93.96%;-93.96%
Osisko Metals Incorporated;OM;-21.04%;55.56%;-36.81%;-83.23%;-92.89%;-94.00%
Sage Potash Corp.;SAGE;-0.92%;-16.60%;-48.52%;-80.59%;-81.28%;-94.11%
Kore Mining Ltd.;KORE;-19.85%;-31.15%;-10.50%;-55.62%;-94.59%;-94.71%
Datametrex AI Limited;DM;17.49%;-41.94%;-29.00%;-76.22%;-96.02%;-94.89%
Inomin Mines Inc.;MINE;0.00%;0.00%;0.00%;0.00%;-98.33%;-95.00%
Topicus.com Inc.;TOI;-23.50%;-63.98%;-76.87%;-32.17%;-95.97%;-95.80%
Power Metals Corp.;PWM;-0.62%;-24.29%;-67.55%;-95.84%;-95.84%;-95.84%
Outcrop Silver & Gold Corporation;OCG;-2.59%;13.91%;10.78%;-62.33%;-95.02%;-96.23%
Japan Gold Corp.;JG;0.63%;5.65%;61.42%;-30.87%;-94.52%;-97.01%
Kalo Gold Corp.;KALO;0.00%;0.00%;0.00%;0.00%;-98.50%;-98.12%
Till Capital Corporation;TIL;-8.36%;-7.94%;41.87%;-8.02%;-97.36%;-98.14%
Thunderbird Minerals Corp.;BIRD;-6.73%;-19.17%;-52.52%;-57.84%;-98.18%;-98.18%
Canadian Gold Corp.;CGC;-6.59%;-9.68%;47.71%;17.58%;-96.97%;-98.23%
Andean Precious Metals Corp.;APM;4.90%;-20.49%;123.88%;59.57%;-86.24%;-98.25%
E-Tech Resources Inc.;REE;-2.86%;10.27%;-14.82%;-66.00%;-98.64%;-98.68%
Blue Thunder Mining Inc.;BLUE;-8.08%;-4.21%;-31.06%;-74.07%;-95.76%;-98.83%
Pacific Empire Minerals Corp.;PEMC;0.00%;0.00%;0.00%;0.00%;-99.69%;-99.00%
Wishpond Technologies Ltd.;WISH;4.44%;-3.58%;2.36%;-27.28%;-98.60%;-99.06%
KWESST Micro Systems Inc.;KWE;-29.04%;-30.00%;-38.63%;-84.40%;-98.88%;-99.30%
Genix Pharmaceuticals Corporation;GENX;0.00%;0.00%;0.00%;0.00%;-99.24%;-99.33%
XORTX Therapeutics Inc.;XRTX;8.75%;-23.33%;1.77%;-95.88%;-99.43%;-99.43%
Galore Resources Inc;GRI;-9.90%;-50.84%;-92.02%;-99.46%;-99.62%;-99.62%
Astra Exploration Inc.;ASTR;-8.93%;-20.31%;-60.47%;-91.77%;-99.70%;-99.66%
Arctic Star Exploration Corp.;ADD;-4.35%;-4.35%;-54.17%;-83.33%;-99.49%;-99.84%
Lithium Chile Inc.;LITH;0.00%;0.00%;0.00%;-20.00%;-98.40%;-99.87%
Giga Metals Corporation;GIGA;-10.00%;-47.06%;-30.77%;-67.86%;-97.35%;-99.87%
Cytophage Technologies Ltd.;CYTO;-3.10%;-10.71%;-53.70%;-91.46%;-99.91%;-99.89%
Niobay Metals Inc.;NBY;-19.30%;-6.12%;-75.66%;-91.12%;-99.74%;-99.90%
Spectra7 Microsystems Inc.;SEV;866.67%;-27.50%;752.94%;-90.33%;-99.92%;-99.92%
Hempalta Corp.;HEMP;0.00%;-80.00%;-90.00%;-90.00%;-99.86%;-99.95%
Delta Resources Limited;DLTA;0.00%;-99.00%;0.00%;-99.00%;-99.00%;-99.98%
Palisades Goldcorp Ltd.;PALI;5.16%;-4.87%;-46.09%;-81.93%;-99.85%;-99.99%
Canadabis Capital Inc.;CANB;-5.88%;-54.29%;-48.39%;-95.63%;-99.77%;-99.99%
Coelacanth Energy Inc.;CEI;-20.00%;-29.41%;-45.45%;-87.23%;-99.65%;-100.00%
